19,m,34-36,San Juan,5-7,Medico,Remoto,14000,3
19,m,31-33,CABA,10+,SysAdmin / DevOps,Full-Time,60000,5
19,m,27-30,CABA,8-10,Developer,Remoto,42500,4
19,m,21-23,Buenos Aires,5-7,SysAdmin / DevOps,Full-Time,10500,1
19,m,31-33,Formosa,8-10,Networking,Part-Time,7300,3
19,m,21-23,CABA,3-5,Developer,Full-Time,17000,4
19,m,24-26,CABA,3-5,Infosec,Full-Time,20700,4
19,m,31-33,CABA,5-7,SysAdmin / DevOps,Full-Time,21360,3
19,m,24-26,Buenos Aires,3-5,Enfermero,Full-Time,10500,1
19,m,27-30,Santa Fe,5-7,SysAdmin / DevOps,Full-Time,20000,3
19,m,31-33,CABA,8-10,SysAdmin / DevOps,Full-Time,16000,3
19,m,24-26,Buenos Aires,8-10,Developer,Full-Time,19500,4
19,m,34-36,San Luis,10+,Seguridad Informatica,Full-Time,17000,3
20,m,21-23,CABA,1-2,HelpDesk,Part-Time,6600,1
20,m,24-26,Buenos Aires,1-2,comprador,Full-Time,15000,3
20,m,27-30,CABA,5-7,Developer,Full-Time,15000,1
20,m,27-30,CABA,1,Developer,Full-Time,7000,1
20,m,24-26,Córdoba,1-2,colorista,Full-Time,10000,4
20,m,24-26,CABA,3-5,Developer,Part-Time,10100,2
20,f,31-33,CABA,3-5,Business Analyst,Full-Time,13000,1
20,m,27-30,Buenos Aires,3-5,actor porno,Full-Time,14600,5
20,m,24-26,CABA,1-2,Developer,Full-Time,11500,3
20,f,27-30,CABA,1-2,Middleware,Full-Time,15500,2
20,m,27-30,Buenos Aires,1-2,Developer,Full-Time,7500,1
20,m,24-26,CABA,1-2,DBA,Full-Time,12000,3
20,m,37-40,CABA,10+,PM,Remoto,60000,5
20,m,31-33,CABA,3-5,Developer,Full-Time,10000,1
20,m,24-26,CABA,5-7,SysAdmin / DevOps,Full-Time,14000,3
20,m,24-26,CABA,8-10,Infosec,Full-Time,30000,5
20,m,37-40,Buenos Aires,10+,Operario de producción,Full-Time,10200,2
20,m,31-33,Salta,8-10,Admistrative,Full-Time,16595,3
21,m,37-40,Entre Ríos,8-10,Financiera,Full-Time,10000,3
21,m,37-40,Buenos Aires,10+,Camuzzi gas pampeana,Full-Time,20000,4
21,m,27-30,Catamarca,5-7,Comercial,Full-Time,13679,4
21,m,27-30,San Luis,3-5,Docente,Part-Time,7000,3
21,m,24-26,Buenos Aires,5-7,DBA,Full-Time,13000,3
21,f,24-26,Chaco,1,Developer,Part-Time,6700,3
21,m,27-30,Santa Cruz,8-10,vigilador,Full-Time,11890,1
21,m,24-26,Córdoba,1-2,Developer,Full-Time,11000,4
21,m,21-23,CABA,1-2,HelpDesk,Full-Time,10250,3
21,m,27-30,CABA,3-5,Developer,Full-Time,16000,3
21,m,31-33,CABA,8-10,Designer,Full-Time,18600,4
21,m,31-33,Santa Cruz,3-5,Contador publico,Freelance,20000,3
22,m,24-26,Catamarca,3-5,atención al cliente,Full-Time,8700,2
22,m,27-30,CABA,3-5,HelpDesk,Full-Time,9990,3
22,m,24-26,CABA,1,Designer,Part-Time,4500,3
22,m,37-40,Buenos Aires,5-7,encargado,Part-Time,24000,3
22,m,34-36,Buenos Aires,10+,end,Part-Time,12000,3
22,m,31-33,Chaco,10+,Supervisor,Full-Time,10000,3
22,m,37-40,Buenos Aires,10+,SysAdmin / DevOps,Full-Time,11850,3
22,m,34-36,CABA,8-10,Developer,Full-Time,15500,2
22,m,24-26,Buenos Aires,3-5,HelpDesk,Full-Time,8784,3
22,m,18-20,Córdoba,1-2,Seguridad e higiene,Part-Time,15000,3
23,m,27-30,Salta,3-5,Docente,Part-Time,3500,1
23,m,31-33,Buenos Aires,8-10,Developer,Freelance,10000,3
23,m,37-40,CABA,5-7,Developer,Full-Time,17000,2
23,m,24-26,CABA,1-2,Networking,Full-Time,9300,4
23,m,27-30,Buenos Aires,5-7,SysAdmin / DevOps,Full-Time,18000,1
23,m,24-26,Misiones,3-5,Developer,Full-Time,12000,3
23,m,34-36,CABA,10+,SysAdmin / DevOps,Full-Time,32000,4
23,m,27-30,Córdoba,3-5,Storage / Backup,Full-Time,12000,2
23,m,24-26,CABA,5-7,Developer,Full-Time,12000,1
23,m,34-36,Buenos Aires,10+,BA,Full-Time,16000,2
23,m,27-30,CABA,10+,Developer,Full-Time,15000,1
23,m,31-33,Buenos Aires,10+,Abogado en gestion hospitalaria y particular,Part-Time,14000,3
23,m,34-36,CABA,8-10,Administrativo,Full-Time,10000,1
23,m,34-36,Buenos Aires,8-10,Salud,Part-Time,14000,2
23,m,37-40,Jujuy,10+,Developer,Full-Time,12000,2
23,m,27-30,CABA,5-7,Developer,Full-Time,30000,5
23,m,31-33,Buenos Aires,8-10,Designer,Full-Time,9000,2
0,m,37-40,Buenos Aires,10+,SysAdmin / DevOps,Part-Time,15000,3
0,m,31-33,Chaco,1-2,Funebrero,Full-Time,6000,1
0,m,24-26,Santa Fe,3-5,SysAdmin / DevOps,Full-Time,12389,4
0,m,37-40,Santiago del Estero,10+,Taller,Part-Time,10000,3
0,m,31-33,Buenos Aires,10+,Director,Full-Time,22500,4
0,m,41-45,Buenos Aires,10+,SysAdmin / DevOps,Full-Time,30000,3
0,m,27-30,CABA,8-10,Developer,Full-Time,20000,3
0,m,34-36,Mendoza,1-2,tecnico de dialisis,Full-Time,12000,3
0,m,27-30,CABA,8-10,Developer,Freelance,18000,2
0,m,21-23,Buenos Aires,1-2,transporte,Full-Time,35000,5
0,m,27-30,Buenos Aires,1,consultor,Freelance,7000,2
0,m,50+,CABA,10+,PM,Full-Time,33000,3
1,m,27-30,CABA,5-7,Webmaster,Freelance,11000,3
2,m,37-40,Buenos Aires,3-5,vigilador,Full-Time,6850,1
2,f,27-30,CABA,8-10,Infosec,Full-Time,20000,5
2,m,27-30,Córdoba,1,HelpDesk,Part-Time,7200,4
2,m,34-36,CABA,8-10,SysAdmin / DevOps,Full-Time,30000,3
4,f,41-45,Río Negro,10+,SysAdmin / DevOps,Part-Time,10000,3
4,f,41-45,Río Negro,10+,SysAdmin / DevOps,Part-Time,10000,3
4,f,41-45,Río Negro,10+,SysAdmin / DevOps,Part-Time,10000,3
4,m,27-30,Buenos Aires,8-10,SysAdmin / DevOps,Full-Time,12000,2
5,m,27-30,Tucumán,8-10,operador,Full-Time,19000,2
6,m,37-40,Buenos Aires,10+,operario,Full-Time,10800,3
7,m,18-20,Buenos Aires,1,Operario,Full-Time,11500,3
7,m,37-40,CABA,10+,Developer,Full-Time,50000,5
7,m,34-36,Chaco,5-7,Developer,Full-Time,16000,2
8,m,24-26,CABA,5-7,Special account manager,Part-Time,7500,1
8,m,27-30,Buenos Aires,8-10,Resp tecnix,Full-Time,15000,3
9,m,27-30,Córdoba,8-10,Developer,Full-Time,13400,4
9,m,27-30,Buenos Aires,1-2,Developer,Full-Time,8632,2
9,m,41-45,Córdoba,10+,Operations Manager,Full-Time,36000,5
9,m,41-45,CABA,10+,SysAdmin / DevOps,Full-Time,35000,4
9,m,34-36,Buenos Aires,10+,SysAdmin / DevOps,Full-Time,20000,4
9,m,27-30,CABA,5-7,SysAdmin / DevOps,Full-Time,33500,4
9,m,31-33,CABA,1-2,Soporte Tecnico,Full-Time,12300,3
9,m,34-36,CABA,10+,PM,Full-Time,50000,4
9,m,21-23,Buenos Aires,1-2,HelpDesk,Full-Time,14000,4
10,m,34-36,Santa Fe,10+,SysAdmin / DevOps,Full-Time,16000,2
10,m,27-30,CABA,5-7,Developer,Full-Time,30000,3
10,m,31-33,Buenos Aires,10+,SysAdmin / DevOps,Full-Time,18000,4
10,f,21-23,CABA,1-2,Administracion,Full-Time,8000,4
10,m,24-26,CABA,1-2,Designer,Full-Time,11000,3
11,m,27-30,Santa Cruz,5-7,Ventas,Full-Time,7000,1
